1. The beginning of The Gospel of Jesus Christ, [The Son of God SG->5];	αρχη του ευαγγελιου ιησου χριστου υιου του θεου.	arche tou euaggeliou iesou christou uiou tou theou.	Mar|1|1|

16. And His disciples went forth, and came into the city, and found as He had said unto them: and they made ready the pascha.	και εξηλθον οι μαθηται αυτου και ηλθον εις την πολιν και ευρον καθως ειπεν αυτοις και ητοιμασαν το πασχα.	kai exelthon oi mathetai autou kai elthon eis ten polin kai euron kathos eipen autois kai etoimasan to pascha.	Mar|14|16|

17. And in the evening he cometh with the [twelve TW->18].	και οψιας γενομενης ερχεται μετα των δωδεκα	kai opsias genomenes erchetai meta ton dodeka	Mar|14|17|

18. And as they sat and did eat, Jesus said, [Amin AM.B->12] I say unto you, One of you which eateth with Me shall betray Me.	και ανακειμενων αυτων και εσθιοντων ειπεν ο ιησους αμην λεγω υμιν οτι εις εξ υμων παραδωσει με ο εσθιων μετ εμου.	kai anakeimenon auton kai esthionton eipen o iesous amen lego umin oti eis ex umon paradosei me o esthion met emou.	Mar|14|18|

19. And they began to be sorrowful, and to say unto Him one by one, Is it I? and another said, Is it I?	οι δε ηρξαντο λυπεισθαι και λεγειν αυτω εις καθ εις μητι εγω και αλλος μητι εγω	oi de erxanto lupeisthai kai legein auto eis kath eis meti ego kai allos meti ego	Mar|14|19|

20. And He answered and said unto them, It is one of the [twelve TW->19], that dippeth with Me in the dish.	ο δε αποκριθεις ειπεν αυτοις εις εκ των δωδεκα ο εμβαπτομενος μετ εμου εις το τρυβλιον.	o de apokritheis eipen autois eis ek ton dodeka o embaptomenos met emou eis to trublion.	Mar|14|20|

21. The Son of man indeed goeth, as it is written of Him: but woe to that man by whom The Son of man is betrayed! good were it for that man if he had never been born.	ο μεν υιος του ανθρωπου υπαγει καθως γεγραπται περι αυτου ουαι δε τω ανθρωπω εκεινω δι ου ο υιος του ανθρωπου παραδιδοται καλον ην αυτω ει ουκ εγεννηθη ο ανθρωπος εκεινος.	o men uios tou anthropou upagei kathos gegraptai peri autou ouai de to anthropo ekeino di ou o uios tou anthropou paradidotai kalon en auto ei ouk egennethe o anthropos ekeinos.	Mar|14|21|

22. And as they did eat, Jesus took [Bread EU->3], and Blessed, and Brake it, and gave to them, and said, Take, eat: This is My Body.	και εσθιοντων αυτων λαβων ο ιησους αρτον ευλογησας εκλασε και εδωκεν αυτοις και ειπε λαβετε φαγετε τουτο εστι το σωμα μου.	kai esthionton auton labon o iesous arton eulogesas eklase kai edoken autois kai eipe labete phagete touto esti to soma mou.	Mar|14|22|

23. And He took The [Cup EU->4], and when He had given thanks, He gave It to them: and they all drank of It.	και λαβων το ποτηριον ευχαριστησας εδωκεν αυτοις. και επιον εξ αυτου παντες	kai labon to poterion eucharistesas edoken autois. kai epion ex autou pantes	Mar|14|23|

24. And He said unto them, This is My [Blood BL->7] of the New Covenant, which is shed for many.	και ειπεν αυτοις τουτο εστι το αιμα μου το της καινης διαθηκης το περι πολλων εκχυννομενον.	kai eipen autois touto esti to aima mou to tes kaines diathekes to peri pollon ekchunnomenon.	Mar|14|24|

25. [Amin AM.B->13] I say unto you, I will drink no more of the fruit of the vine, until that day that I drink it new in The Kingdom of God.	αμην λεγω υμιν οτι ουκετι ου μη πιω εκ του γενηματος της αμπελου εως της ημερας εκεινης οταν αυτο πινω καινον εν τη βασιλεια του θεου.	amen lego umin oti ouketi ou me pio ek tou genematos tes ampelou eos tes emeras ekeines otan auto pino kainon en te basileia tou theou.	Mar|14|25|

26. And when they had sung an hymn, they went out into the mount of Olives.	και υμνησαντες εξηλθον εις το ορος των ελαιων.	kai umnesantes exelthon eis to oros ton elaion.	Mar|14|26|

27. And Jesus saith unto them, All ye shall be offended because of Me this night: for it is written, I will smite The Shepherd, and the sheep shall be scattered.	και λεγει αυτοις ο ιησους οτι παντες σκανδαλισθησεσθε εν εμοι εν τη νυκτι ταυτη οτι γεγραπται παταξω τον ποιμενα και διασκορπισθησονται τα προβατα	kai legei autois o iesous oti pantes skandalisthesesthe en emoi en te nukti taute oti gegraptai pataxo ton poimena kai diaskorpisthesontai ta probata	Mar|14|27|

28. But after that I am Risen, I will go before you into Galilee.	αλλα μετα το εγερθηναι με προαξω υμας εις την γαλιλαιαν	alla meta to egerthenai me proaxo umas eis ten galilaian	Mar|14|28|

29. But Peter said unto Him, Although all shall be offended, yet will not I.	ο δε πετρος εφη αυτω και ει παντες σκανδαλισθησονται αλλ ουκ εγω.	o de petros ephe auto kai ei pantes skandalisthesontai all ouk ego.	Mar|14|29|

30. And Jesus saith unto him, [Amin AM.B->14] I say unto thee, That this day, even in this night, before the cock crow twice, thou shalt deny Me thrice.	και λεγει αυτω ο ιησους αμην λεγω σοι οτι συ σημερον εν τη νυκτι ταυτη πριν η δις αλεκτορα φωνησαι τρις απαρνηση με.	kai legei auto o iesous amen lego soi oti su semeron en te nukti taute prin e dis alektora phonesai tris aparnese me.	Mar|14|30|

31. But he spake the more vehemently, If I should die with thee, I will not deny thee in any wise. Likewise also said they all.	ο δε εκπερισσου ελεγε μαλλον εαν με δεη συναποθανειν σοι ου μη σε απαρνησομαι. ωσαυτως δε και παντες ελεγον.	o de ekperissou elege mallon ean me dee sunapothanein soi ou me se aparnesomai. osautos de kai pantes elegon.	Mar|14|31|

32. And they came to a place which was named Gethsemane: and He saith to His disciples, Sit ye here, while I shall pray.	και ερχονται εις χωριον ου το ονομα γεθσημανι και λεγει τοις μαθηταις αυτου καθισατε ωδε εως προσευξωμαι.	kai erchontai eis chorion ou to onoma gethsemani kai legei tois mathetais autou kathisate ode eos proseuxomai.	Mar|14|32|

33. And He taketh with Him Peter and James and John, and began to be sore amazed, and to be very heavy;	και παραλαμβανει τον πετρον και τον ιακωβον και ιωαννην μεθ εαυτου και ηρξατο εκθαμβεισθαι και αδημονειν.	kai paralambanei ton petron kai ton iakobon kai ioannen meth eautou kai erxato ekthambeisthai kai ademonein.	Mar|14|33|

34. And saith unto them, My Soul is exceeding sorrowful unto death: tarry ye here, and watch.	και λεγει αυτοις περιλυπος εστιν η ψυχη μου εως θανατου μεινατε ωδε και γρηγορειτε.	kai legei autois perilupos estin e psuche mou eos thanatou meinate ode kai gregoreite.	Mar|14|34|

35. And He went forward a little, and fell on the ground, and prayed that, if it were possible, the hour might pass from Him.	και προελθων μικρον επεσεν επι της γης και προσηυχετο ινα ει δυνατον εστι παρελθη απ αυτου η ωρα	kai proelthon mikron epesen epi tes ges kai proseucheto ina ei dunaton esti parelthe ap autou e ora	Mar|14|35|

36. And He said, Abba, Father, all things are possible unto thee; take away this cup from Me: nevertheless not what I Will, but what Thou Wilt.	και ελεγεν αββα ο πατηρ παντα δυνατα σοι παρενεγκε το ποτηριον απ εμου τουτο αλλ ου τι εγω θελω αλλα τι συ.	kai elegen abba o pater panta dunata soi parenegke to poterion ap emou touto all ou ti ego thelo alla ti su.	Mar|14|36|

37. And He cometh, and findeth them sleeping, and saith unto Peter, Simon, sleepest thou? couldest not thou watch one hour?	και ερχεται και ευρισκει αυτους καθευδοντας και λεγει τω πετρω σιμων καθευδεις ουκ ισχυσας μιαν ωραν γρηγορησαι	kai erchetai kai euriskei autous katheudontas kai legei to petro simon katheudeis ouk ischusas mian oran gregoresai	Mar|14|37|

38. Watch ye and pray, lest ye enter into temptation. The spirit truly is ready, but the flesh is weak.	γρηγορειτε και προσευχεσθε ινα μη εισελθητε εις πειρασμον το μεν πνευμα προθυμον η δε σαρξ ασθενης.	gregoreite kai proseuchesthe ina me eiselthete eis peirasmon to men pneuma prothumon e de sarx asthenes.	Mar|14|38|

39. And again He went away, and prayed, and spake the same words.	και παλιν απελθων προσηυξατο τον αυτον λογον ειπων.	kai palin apelthon proseuxato ton auton logon eipon.	Mar|14|39|

40. And when He returned, He found them asleep again, for their eyes were heavy, neither wist they what to answer Him.	και υποστρεψας ευρεν αυτους παλιν καθευδοντας ησαν γαρ οι οφθαλμοι αυτων καταβαρυνομενοι και ουκ ηδεισαν τι αποκριθωσιν αυτω.	kai upostrepsas euren autous palin katheudontas esan gar oi ophthalmoi auton katabarunomenoi kai ouk edeisan ti apokrithosin auto.	Mar|14|40|

41. And He cometh the third time, and saith unto them, Sleep on now, and take your rest: it is enough, the hour is come; behold, The Son of man is betrayed into the hands of sinners.	και ερχεται το τριτον και λεγει αυτοις καθευδετε το λοιπον και αναπαυεσθε. απεχει ηλθεν η ωρα ιδου παραδιδοται ο υιος του ανθρωπου εις τας χειρας των αμαρτωλων.	kai erchetai to triton kai legei autois katheudete to loipon kai anapauesthe. apechei elthen e ora idou paradidotai o uios tou anthropou eis tas cheiras ton amartolon.	Mar|14|41|

42. Rise up, let us go; lo, he that betrayeth Me is at hand.	εγειρεσθε αγωμεν ιδου ο παραδιδους με ηγγικε.	egeiresthe agomen idou o paradidous me eggike.	Mar|14|42|

43. And immediately, while He yet spake, cometh Judas, one of the [twelve TW->20], and with him a great multitude with swords and staves, from the chief priest and the scribes and the elders.	και ευθεως ετι αυτου λαλουντος παραγινεται ιουδας εις των δωδεκα και μετ αυτου οχλος πολυς μετα μαχαιρων και ξυλων παρα των αρχιερεων και των γραμματεων και των πρεσβυτερων.	kai eutheos eti autou lalountos paraginetai ioudas eis ton dodeka kai met autou ochlos polus meta machairon kai xulon para ton archiereon kai ton grammateon kai ton presbuteron.	Mar|14|43|

44. And he that betrayed Him had given them a token, saying, Whomsoever I shall kiss, that same is He; take Him, and lead Him away safely.	δεδωκει δε ο παραδιδους αυτον συσσημον αυτοις λεγων ον αν φιλησω αυτος εστι κρατησατε αυτον και απαγαγετε ασφαλως.	dedokei de o paradidous auton sussemon autois legon on an phileso autos esti kratesate auton kai apagagete asphalos.	Mar|14|44|

45. And as soon as he was come, he goeth straightway to Him, and saith, Rabbi, Rabbi; and kissed Him.	και ελθων ευθεως προσελθων αυτω λεγει ραββι ραββι και κατεφιλησεν αυτον	kai elthon eutheos proselthon auto legei rabbi rabbi kai katephilesen auton	Mar|14|45|

46. And they laid their hands on Him, and took Him.	οι δε επεβαλον επ αυτον τας χειρας αυτων και εκρατησαν αυτον.	oi de epebalon ep auton tas cheiras auton kai ekratesan auton.	Mar|14|46|

47. And one of them that stood by drew a sword, and smote a servant of the high priest, and cut off his ear.	εις δε τις των παρεστηκοτων σπασαμενος την μαχαιραν επαισε τον δουλον του αρχιερεως και αφειλεν αυτου το ωτιον.	eis de tis ton parestekoton spasamenos ten machairan epaise ton doulon tou archiereos kai apheilen autou to otion.	Mar|14|47|

48. And Jesus answered and said unto them, Are ye come out, as against a thief, with swords and with staves to take Me?	και αποκριθεις ο ιησους ειπεν αυτοις ως επι ληστην εξηλθετε μετα μαχαιρων και ξυλων συλλαβειν με	kai apokritheis o iesous eipen autois os epi lesten exelthete meta machairon kai xulon sullabein me	Mar|14|48|

49. I was daily with you in The Temple teaching, and ye took Me not: but The Scriptures must be fulfilled.	καθ ημεραν ημην προς υμας εν τω ιερω διδασκων και ουκ εκρατησατε με αλλ ινα πληρωθωσιν αι γραφαι.	kath emeran emen pros umas en to iero didaskon kai ouk ekratesate me all ina plerothosin ai graphai.	Mar|14|49|

50. And they all forsook Him, and fled.	και αφεντες αυτον εφυγον παντες.	kai aphentes auton ephugon pantes.	Mar|14|50|

51. And there followed Him a certain young man, having a linen cloth cast about his naked body; and the young men laid hold on him:	και εις τις νεανισκος ηκολουθησεν αυτω περιβεβλημενος σινδονα επι γυμνου και κρατουσιν αυτον οι νεανισκοι	kai eis tis neaniskos ekolouthesen auto peribeblemenos sindona epi gumnou kai kratousin auton oi neaniskoi	Mar|14|51|

52. And he left the linen cloth, and fled from them naked.	ο δε καταλιπων την σινδονα γυμνος εφυγεν απ αυτων.	o de katalipon ten sindona gumnos ephugen ap auton.	Mar|14|52|

53. And they led Jesus away to the high priest: and with him were assembled all the chief priests and the elders and the scribes.	και απηγαγον τον ιησουν προς τον αρχιερεα και συνερχονται αυτω παντες οι αρχιερεις και οι πρεσβυτεροι και οι γραμματεις.	kai apegagon ton iesoun pros ton archierea kai sunerchontai auto pantes oi archiereis kai oi presbuteroi kai oi grammateis.	Mar|14|53|

54. And Peter followed Him afar off, even into the palace of the high priest: and he sat with the servants, and warmed himself at the fire.	και ο πετρος απο μακροθεν ηκολουθησεν αυτω εως εσω εις την αυλην του αρχιερεως και ην συγκαθημενος μετα των υπηρετων και θερμαινομενος προς το φως.	kai o petros apo makrothen ekolouthesen auto eos eso eis ten aulen tou archiereos kai en sugkathemenos meta ton upereton kai thermainomenos pros to phos.	Mar|14|54|

55. And the chief priests and all the council sought for witness against Jesus to put Him to death; and found none.	οι δε αρχιερεις και ολον το συνεδριον εζητουν κατα του ιησου μαρτυριαν εις το θανατωσαι αυτον και ουχ ευρισκον	oi de archiereis kai olon to sunedrion ezetoun kata tou iesou marturian eis to thanatosai auton kai ouch euriskon	Mar|14|55|

56. For many bare false witness against Him, but their witness agreed not together.	πολλοι γαρ εψευδομαρτυρουν κατ αυτου και ισαι αι μαρτυριαι ουκ ησαν.	polloi gar epseudomarturoun kat autou kai isai ai marturiai ouk esan.	Mar|14|56|

57. And there arose certain, and bare false witness against Him, saying,	και τινες ανασταντες εψευδομαρτυρουν κατ αυτου λεγοντες	kai tines anastantes epseudomarturoun kat autou legontes	Mar|14|57|

58. We heard Him say, I will destroy This Temple that is made with hands, and within three days I will build another made without hands.	οτι ημεις ηκουσαμεν αυτου λεγοντος οτι εγω καταλυσω τον ναον τουτον τον χειροποιητον και δια τριων ημερων αλλον αχειροποιητον οικοδομησω.	oti emeis ekousamen autou legontos oti ego kataluso ton naon touton ton cheiropoieton kai dia trion emeron allon acheiropoieton oikodomeso.	Mar|14|58|

59. But neither so did their witness agree together.	και ουδε ουτως ιση ην η μαρτυρια αυτων.	kai oude outos ise en e marturia auton.	Mar|14|59|

60. And the high priest stood up in the midst, and asked Jesus, saying, Answerest Thou nothing? what is it which these witness against Thee?	και αναστας ο αρχιερευς εις το μεσον επηρωτησε τον ιησουν λεγων ουκ αποκρινη ουδεν τι ουτοι σου καταμαρτυρουσιν	kai anastas o archiereus eis to meson eperotese ton iesoun legon ouk apokrine ouden ti outoi sou katamarturousin	Mar|14|60|

61. But He held His peace, and answered nothing. Again the high priest asked Him, and said unto Him, Art thou The Christ, [The Son of The Blessed SG->6]?	ο δε εσιωπα και ουδεν απεκρινατο. παλιν ο αρχιερευς επηρωτα αυτον και λεγει αυτω συ ει ο χριστος ο υιος του ευλογητου	o de esiopa kai ouden apekrinato. palin o archiereus eperota auton kai legei auto su ei o christos o uios tou eulogetou	Mar|14|61|

62. And Jesus said, [I AM IA->6]: and ye shall see The Son of man sitting on The Right of Power, and coming in the clouds of Heaven.	ο δε ιησους ειπεν εγω ειμι και οψεσθε τον υιον του ανθρωπου εκ δεξιων καθημενον της δυναμεως και ερχομενον μετα των νεφελων του ουρανου.	o de iesous eipen ego eimi kai opsesthe ton uion tou anthropou ek dexion kathemenon tes dunameos kai erchomenon meta ton nephelon tou ouranou.	Mar|14|62|

63. Then the high priest rent his clothes, and saith, What need we any further witnesses?	ο δε αρχιερευς διαρρηξας τους χιτωνας αυτου λεγει τι ετι χρειαν εχομεν μαρτυρων	o de archiereus diarrexas tous chitonas autou legei ti eti chreian echomen marturon	Mar|14|63|

64. Ye have heard the blasphemy: what think ye? And they all condemned Him to be guilty of death.	ηκουσατε της βλασφημιας τι υμιν φαινεται οι δε παντες κατεκριναν αυτον ειναι ενοχον θανατου.	ekousate tes blasphemias ti umin phainetai oi de pantes katekrinan auton einai enochon thanatou.	Mar|14|64|

65. And some began to spit on Him, and to cover His Face, and to buffet Him, and to say unto Him, Prophesy: and the servants did strike Him with the palms of their hands.	και ηρξαντο τινες εμπτυειν αυτω και περικαλυπτειν το προσωπον αυτου και κολαφιζειν αυτον και λεγειν αυτω προφητευσον και οι υπηρεται ραπισμασιν αυτον εβαλον.	kai erxanto tines emptuein auto kai perikaluptein to prosopon autou kai kolaphizein auton kai legein auto propheteuson kai oi uperetai rapismasin auton ebalon.	Mar|14|65|

66. And as Peter was beneath in the palace, there cometh one of the maids of the high priest:	και οντος του πετρου κατω εν τη αυλη ερχεται μια των παιδισκων του αρχιερεως	kai ontos tou petrou kato en te aule erchetai mia ton paidiskon tou archiereos	Mar|14|66|

67. And when she saw Peter warming himself, she looked upon him, and said, And thou also wast with Jesus of Nazareth.	και ιδουσα τον πετρον θερμαινομενον εμβλεψασα αυτω λεγει και συ μετα του ναζαρηνου του ιησου ησθα.	kai idousa ton petron thermainomenon emblepsasa auto legei kai su meta tou nazarenou tou iesou estha.	Mar|14|67|

68. But he denied, saying, I know not, neither understand I what thou sayest. And he went out into the porch; and the cock crew.	ο δε ηρνησατο λεγων ουκ οιδα ουδε επισταμαι τι συ λεγεις και εξηλθεν εξω εις το προαυλιον και αλεκτωρ εφωνησεν.	o de ernesato legon ouk oida oude epistamai ti su legeis kai exelthen exo eis to proaulion kai alektor ephonesen.	Mar|14|68|

69. And a maid saw him again, and began to say to them that stood by, This is one of them.	και η παιδισκη ιδουσα αυτον παλιν ηρξατο λεγει τοις παρεστηκοσιν οτι ουτος εξ αυτων εστιν.	kai e paidiske idousa auton palin erxato legei tois parestekosin oti outos ex auton estin.	Mar|14|69|

70. And he denied it again. And a little after, they that stood by said again to Peter, Surely thou art one of them: for thou art a Galilaean, and thy speech agreeth thereto.	ο δε παλιν ηρνειτο και μετα μικρον παλιν οι παρεστωτες ελεγον τω πετρω αληθως εξ αυτων ει. και γαρ γαλιλαιος ει και η λαλια σου ομοιαζει.	o de palin erneito kai meta mikron palin oi parestotes elegon to petro alethos ex auton ei. kai gar galilaios ei kai e lalia sou omoiazei.	Mar|14|70|

71. But he began to curse and to swear, saying, I know not this Man of whom ye speak.	ο δε ηρξατο αναθεματιζειν και ομνυειν οτι ουκ οιδα τον ανθρωπον τουτον ον λεγετε.	o de erxato anathematizein kai omnuein oti ouk oida ton anthropon touton on legete.	Mar|14|71|

72. And the second time the cock crew. And Peter called to mind the word that Jesus said unto him, Before the cock crow twice, thou shalt deny Me thrice. And when he thought thereon, he wept.	και εκ δευτερου αλεκτωρ εφωνησε. και ανεμνησθη ο πετρος το ρημα ο ειπεν αυτω ο ιησους οτι πριν αλεκτορα φωνησαι δις απαρνηση με τρις. και επιβαλων εκλαιε.	kai ek deuterou alektor ephonese. kai anemnesthe o petros to rema o eipen auto o iesous oti prin alektora phonesai dis aparnese me tris. kai epibalon eklaie.	Mar|14|72|

1. And straightway in the morning the chief priests held a consultation with the elders and scribes and the whole council, and bound Jesus, and carried Him away, and delivered Him to Pilate.	και ευθεως επι πρωι συμβουλιον ποιησαντες οι αρχιερεις μετα των πρεσβυτερων και γραμματεων και ολον το συνεδριον δησαντες τον ιησουν απηνεγκαν και παρεδωκαν τω πιλατω.	kai eutheos epi proi sumboulion poiesantes oi archiereis meta ton presbuteron kai grammateon kai olon to sunedrion desantes ton iesoun apenegkan kai paredokan to pilato.	Mar|15|1|

2. And Pilate asked Him, Art Thou The King of the Jews? And He answering said unto him, Thou sayest it.	και επηρωτησεν αυτον ο πιλατος συ ει ο βασιλευς των ιουδαιων ο δε αποκριθεις ειπεν αυτω συ λεγεις.	kai eperotesen auton o pilatos su ei o basileus ton ioudaion o de apokritheis eipen auto su legeis.	Mar|15|2|

3. And the chief priests accused him of many things: but He answered nothing.	και κατηγορουν αυτου οι αρχιερεις πολλα.	kai kategoroun autou oi archiereis polla.	Mar|15|3|

4. And Pilate asked Him again, saying, Answerest Thou nothing? behold how many things they witness against Thee.	ο δε πιλατος παλιν επηρωτα αυτον λεγων ουκ αποκρινη ουδεν ιδε ποσα σου καταμαρτυρουσιν.	o de pilatos palin eperota auton legon ouk apokrine ouden ide posa sou katamarturousin.	Mar|15|4|

5. But Jesus yet answered nothing; so that Pilate marvelled.	ο δε ιησους ουκετι ουδεν απεκριθη ωστε θαυμαζειν τον πιλατον.	o de iesous ouketi ouden apekrithe oste thaumazein ton pilaton.	Mar|15|5|

6. Now at that feast he released unto them one prisoner, whomsoever they desired.	κατα δε εορτην απελυεν αυτοις ενα δεσμιον ονπερ ητουντο	kata de eorten apeluen autois ena desmion onper etounto	Mar|15|6|

7. And there was one named Barabbas, which lay bound with them that had made insurrection with him, who had committed murder in the insurrection.	ην δε ο λεγομενος βαραββας μετα των συστασιαστων δεδεμενος οιτινες εν τη στασει φονον πεποιηκεισαν.	en de o legomenos barabbas meta ton sustasiaston dedemenos oitines en te stasei phonon pepoiekeisan.	Mar|15|7|

8. And the multitude crying aloud began to desire him to do as he had ever done unto them.	και αναβοησας ο οχλος ηρξατο αιτεισθαι καθως αει εποιει αυτοις.	kai anaboesas o ochlos erxato aiteisthai kathos aei epoiei autois.	Mar|15|8|

9. But Pilate answered them, saying, Will ye that I release unto you The King of the Jews?	ο δε πιλατος απεκριθη αυτοις λεγων θελετε απολυσω υμιν τον βασιλεα των ιουδαιων	o de pilatos apekrithe autois legon thelete apoluso umin ton basilea ton ioudaion	Mar|15|9|

10. For he knew that the chief priests had delivered Him for envy.	εγινωσκε γαρ οτι δια φθονον παραδεδωκεισαν αυτον οι αρχιερεις.	eginoske gar oti dia phthonon paradedokeisan auton oi archiereis.	Mar|15|10|

11. But the chief priests moved the people, that he should rather release Barabbas unto them.	οι δε αρχιερεις ανεσεισαν τον οχλον ινα μαλλον τον βαραββαν απολυση αυτοις.	oi de archiereis aneseisan ton ochlon ina mallon ton barabban apoluse autois.	Mar|15|11|

12. And Pilate answered and said again unto them, What will ye then that I shall do unto Him whom ye call The King of the Jews?	ο δε πιλατος αποκριθεις παλιν ειπεν αυτοις τι ουν θελετε ποιησω ον λεγετε τον βασιλεα των ιουδαιων	o de pilatos apokritheis palin eipen autois ti oun thelete poieso on legete ton basilea ton ioudaion	Mar|15|12|

13. And they cried out again, [Crucify CR.A->12 CR.B->9] Him.	οι δε παλιν εκραξαν σταυρωσον αυτον.	oi de palin ekraxan stauroson auton.	Mar|15|13|

14. Then Pilate said unto them, Why, what evil hath He done? And they cried out the more exceedingly, [Crucify CR.A->13 CR.B->10] Him.	ο δε πιλατος ελεγεν αυτοις τι γαρ κακον εποιησεν οι δε περισσοτερως εκραξαν σταυρωσον αυτον.	o de pilatos elegen autois ti gar kakon epoiesen oi de perissoteros ekraxan stauroson auton.	Mar|15|14|

15. And so Pilate, willing to content the people, released Barabbas unto them, and delivered Jesus, when he had scourged Him, to be [Crucified CR.A->14 CR.B->11].	ο δε πιλατος βουλομενος τω οχλω το ικανον ποιησαι απελυσεν αυτοις τον βαραββαν και παρεδωκε τον ιησουν φραγελλωσας ινα σταυρωθη.	o de pilatos boulomenos to ochlo to ikanon poiesai apelusen autois ton barabban kai paredoke ton iesoun phragellosas ina staurothe.	Mar|15|15|

16. And the soldiers led Him away into the hall, called Praetorium; and they call together the whole band.	οι δε στρατιωται απηγαγον αυτον εσω της αυλης ο εστι πραιτωριον και συγκαλουσιν ολην την σπειραν	oi de stratiotai apegagon auton eso tes aules o esti praitorion kai sugkalousin olen ten speiran	Mar|15|16|

17. And they clothed Him with purple, and platted a crown of thorns, and put it about His Head,	και ενδυουσιν αυτον πορφυραν και περιτιθεασιν αυτω πλεξαντες ακανθινον στεφανον	kai enduousin auton porphuran kai perititheasin auto plexantes akanthinon stephanon	Mar|15|17|

18. And began to salute Him, Hail, King of the Jews!	και ηρξαντο ασπαζεσθαι αυτον χαιρε βασιλευ των ιουδαιων	kai erxanto aspazesthai auton chaire basileu ton ioudaion	Mar|15|18|

19. And they smote Him on the Head with a reed, and did spit upon Him, and bowing their knees worshipped Him.	και ετυπτον αυτου την κεφαλην καλαμω και ενεπτυον αυτω και τιθεντες τα γονατα προσεκυνουν αυτω.	kai etupton autou ten kephalen kalamo kai eneptuon auto kai tithentes ta gonata prosekunoun auto.	Mar|15|19|

20. And when they had mocked Him, they took off the purple from Him, and put His own clothes on Him, and led Him out to [crucify CR.A->15 CR.B->12] Him.	και οτε ενεπαιξαν αυτω εξεδυσαν αυτον την πορφυραν και ενεδυσαν αυτον τα ιματια τα ιδια και εξαγουσιν αυτον ινα σταυρωσωσιν αυτον.	kai ote enepaixan auto exedusan auton ten porphuran kai enedusan auton ta imatia ta idia kai exagousin auton ina staurososin auton.	Mar|15|20|

21. And they compel one Simon a Cyrenian, who passed by, coming out of the country, the father of Alexander and Rufus, to bear His [Cross CR.A->16].	και αγγαρευουσι παραγοντα τινα σιμωνα κυρηναιον ερχομενον απ αγρου τον πατερα αλεξανδρου και ρουφου ινα αρη τον σταυρον αυτου.	kai aggareuousi paragonta tina simona kurenaion erchomenon ap agrou ton patera alexandrou kai rouphou ina are ton stauron autou.	Mar|15|21|

22. And they bring Him unto the place Golgotha, which is, being interpreted, The place of a skull.	και φερουσιν αυτον επι γολγοθα τοπον ο εστι μεθερμηνευομενον κρανιου τοπος.	kai pherousin auton epi golgotha topon o esti methermeneuomenon kraniou topos.	Mar|15|22|

23. And they gave Him to drink wine mingled with myrrh: but He received it not.	και εδιδουν αυτω πιειν εσμυρνισμενον οινον ο δε ουκ ελαβε.	kai edidoun auto piein esmurnismenon oinon o de ouk elabe.	Mar|15|23|

24. And when they had [crucified CR.A->17 CR.B->13] Him, they parted His garments, casting lots upon them, what every man should take.	και σταυρωσαντες αυτον διαμεριζονται τα ιματια αυτου βαλλοντες κληρον επ αυτα τις τι αρη.	kai staurosantes auton diamerizontai ta imatia autou ballontes kleron ep auta tis ti are.	Mar|15|24|

25. And it was the third hour, and they [crucified CR.A->18 CR.B->14] Him.	ην δε ωρα τριτη και εσταυρωσαν αυτον.	en de ora trite kai estaurosan auton.	Mar|15|25|

26. And the superscription of His accusation was written over, THE KING OF THE JEWS.	και ην η επιγραφη της αιτιας αυτου επιγεγραμμενη ο βασιλευς των ιουδαιων.	kai en e epigraphe tes aitias autou epigegrammene o basileus ton ioudaion.	Mar|15|26|

27. And with Him they crucify two thieves; the one on His right, and the other on His left.	και συν αυτω σταυρουσι δυο ληστας ενα εκ δεξιων και ενα εξ ευωνυμων αυτου.	kai sun auto staurousi duo lestas ena ek dexion kai ena ex euonumon autou.	Mar|15|27|

28. And The Scripture was fulfilled, which saith, And He was numbered with the transgressors.	και επληρωθη η γραφη η λεγουσα και μετα ανομων ελογισθη.	kai eplerothe e graphe e legousa kai meta anomon elogisthe.	Mar|15|28|

29. And they that passed by railed on Him, wagging their heads, and saying, Ah, Thou that destroyest The Temple, and buildest it in three days,	και οι παραπορευομενοι εβλασφημουν αυτον κινουντες τας κεφαλας αυτων και λεγοντες ουα ο καταλυων τον ναον και εν τρισιν ημεραις οικοδομων	kai oi paraporeuomenoi eblasphemoun auton kinountes tas kephalas auton kai legontes oua o kataluon ton naon kai en trisin emerais oikodomon	Mar|15|29|

30. Save Thyself, and come down from The [Cross CR.A->19].	σωσον σεαυτον και καταβα απο του σταυρου.	soson seauton kai kataba apo tou staurou.	Mar|15|30|

31. Likewise also the chief priests mocking said among themselves with the scribes, He saved others; Himself He cannot save.	ομοιως δε και οι αρχιερεις εμπαιζοντες προς αλληλους μετα των γραμματεων ελεγον αλλους εσωσεν εαυτον ου δυναται σωσαι.	omoios de kai oi archiereis empaizontes pros allelous meta ton grammateon elegon allous esosen eauton ou dunatai sosai.	Mar|15|31|

