1. Forasmuch as many have taken in hand to set forth in order a declaration of those things which are most surely believed among us,	επειδηπερ πολλοι επεχειρησαν αναταξασθαι διηγησιν περι των πεπληροφορημενων εν ημιν πραγματων	epeideper polloi epecheiresan anataxasthai diegesin peri ton peplerophoremenon en emin pragmaton	Luk|1|1|
13. And suddenly there was with the angel a multitude of the hosts of Heaven praising God, and saying,	και εξαιφνης εγενετο συν τω αγγελω πληθος στρατιας ουρανιου αινουντων τον θεον και λεγοντων	kai exaiphnes egeneto sun to aggelo plethos stratias ouraniou ainounton ton theon kai legonton	Luk|2|13|

14. Glory in the Highest to God, and on earth peace, to men good will.	δοξα εν υψιστοις θεω και επι γης ειρηνη εν ανθρωποις ευδοκια.	doxa en upsistois theo kai epi ges eirene en anthropois eudokia.	Luk|2|14|

15. And it came to pass, as the angels were gone away from them into Heaven, the shepherds said one to another, Let us now go even unto Bethlehem, and see this thing which is come to pass, which The Lord hath made known unto us.	και εγενετο ως απηλθον απ αυτων εις τον ουρανον οι αγγελοι και οι ανθρωποι οι ποιμενες ειπον προς αλληλους διελθωμεν δη εως βηθλεεμ και ιδωμεν το ρημα τουτο το γεγονος ο ο κυριος εγνωρισεν ημιν.	kai egeneto os apelthon ap auton eis ton ouranon oi aggeloi kai oi anthropoi oi poimenes eipon pros allelous dielthomen de eos bethleem kai idomen to rema touto to gegonos o o kurios egnorisen emin.	Luk|2|15|

16. And they came with haste, and found [Mary MR.A->25], and Joseph, and The Babe lying in a manger.	και ηλθον σπευσαντες και ανευρον την τε μαριαμ και τον ιωσηφ και το βρεφος κειμενον εν τη φατνη.	kai elthon speusantes kai aneuron ten te mariam kai ton ioseph kai to brephos keimenon en te phatne.	Luk|2|16|

17. And when they had seen it, they made known abroad the saying which was told them concerning This Child.	ιδοντες δε διεγνωρισαν περι του ρηματος του λαληθεντος αυτοις περι του παιδιου τουτου	idontes de diegnorisan peri tou rematos tou lalethentos autois peri tou paidiou toutou	Luk|2|17|

18. And all they that heard it wondered at those things which were told them by the shepherds.	και παντες οι ακουσαντες εθαυμασαν περι των λαληθεντων υπο των ποιμενων προς αυτους	kai pantes oi akousantes ethaumasan peri ton lalethenton upo ton poimenon pros autous	Luk|2|18|

19. But [Mary MR.A->26] kept all these things, and pondered them in her heart.	η δε μαριαμ παντα συνετηρει τα ρηματα ταυτα συμβαλλουσα εν τη καρδια αυτης.	e de mariam panta suneterei ta remata tauta sumballousa en te kardia autes.	Luk|2|19|

20. And the shepherds returned, glorifying and praising God for all The Things that they had heard and seen, as it was told unto them.	και υπεστρεψαν οι ποιμενες δοξαζοντες και αινουντες τον θεον επι πασιν οις ηκουσαν και ειδον καθως ελαληθη προς αυτους.	kai upestrepsan oi poimenes doxazontes kai ainountes ton theon epi pasin ois ekousan kai eidon kathos elalethe pros autous.	Luk|2|20|

21. And when eight days were accomplished for the circumcising of The Child, His [Name NM.A->30 NM.C->2] was called JESUS, which was so named of the angel before He was Conceived in The Womb.	και οτε επλησθησαν ημεραι οκτω του περιτεμειν το παιδιον και εκληθη το ονομα αυτου ιησους το κληθεν υπο του αγγελου προ του συλληφθηναι αυτον εν τη κοιλια.	kai ote eplesthesan emerai okto tou peritemein to paidion kai eklethe to onoma autou iesous to klethen upo tou aggelou pro tou sullephthenai auton en te koilia.	Luk|2|21|

22. And when the days of her purification according to the law of Moses were accomplished, they brought Him to Jerusalem, to present Him to The [Lord LR.C->17];	και οτε επλησθησαν αι ημεραι του καθαρισμου αυτων κατα τον νομον μωϋσεως ανηγαγον αυτον εις ιεροσολυμα παραστησαι τω κυριω	kai ote eplesthesan ai emerai tou katharismou auton kata ton nomon moüseos anegagon auton eis ierosoluma parastesai to kurio	Luk|2|22|

23. As it is written in [the law of The Lord LR.C->e1/3], Every male that openeth the womb shall be called Holy to The Lord;	καθως γεγραπται εν νομω κυριου οτι παν αρσεν διανοιγον μητραν αγιον τω κυριω κληθησεται	kathos gegraptai en nomo kuriou oti pan arsen dianoigon metran agion to kurio klethesetai	Luk|2|23|

24. And to offer a sacrifice according to that which is said in [the law of The Lord LR.C->e2/3], A pair of turtledoves, or two young pigeons.	και του δουναι θυσιαν κατα το ειρημενον εν νομω κυριου ζευγος τρυγονων η δυο νοσσους περιστερων.	kai tou dounai thusian kata to eiremenon en nomo kuriou zeugos trugonon e duo nossous peristeron.	Luk|2|24|

25. And, behold, there was a man in Jerusalem, whose name was Simeon; and the same man was righteous and devout, waiting for The Consolation of Israel: and The Holy Spirit was upon him.	και ιδου ην ανθρωπος εν ιερουσαλημ ω ονομα συμεων και ο ανθρωπος ουτος δικαιος και ευλαβης προσδεχομενος παρακλησιν του ισραηλ και πνευμα ην ῞αγιον επ αυτον	kai idou en anthropos en ierousalem o onoma sumeon kai o anthropos outos dikaios kai eulabes prosdechomenos paraklesin tou israel kai pneuma en ῞agion ep auton	Luk|2|25|

26. And it was revealed unto him by The Holy Spirit, that he should not see death, before he had seen The Christ of The [Lord LR.C->18].	και ην αυτω κεχρηματισμενον υπο του πνευματος του αγιου μη ιδειν θανατον πριν η ιδη τον χριστον κυριου.	kai en auto kechrematismenon upo tou pneumatos tou agiou me idein thanaton prin e ide ton christon kuriou.	Luk|2|26|

27. And he came by The Spirit into The Temple: and when the parents brought in The Child Jesus, to do for Him after the custom of the law,	και ηλθεν εν τω πνευματι εις το ιερον και εν τω εισαγαγειν τους γονεις το παιδιον ιησουν του ποιησαι αυτους κατα το ειθισμενον του νομου περι αυτου	kai elthen en to pneumati eis to ieron kai en to eisagagein tous goneis to paidion iesoun tou poiesai autous kata to eithismenon tou nomou peri autou	Luk|2|27|

28. Then took he Him up in his arms, and blessed God, and said,	και αυτος εδεξατο αυτο εις τας αγκαλας αυτου και ευλογησε τον θεον και ειπε	kai autos edexato auto eis tas agkalas autou kai eulogese ton theon kai eipe	Luk|2|28|

29. Master, now lettest Thou Thy servant depart in peace, according to Thy Word:	νυν απολυεις τον δουλον σου δεσποτα κατα το ρημα σου εν ειρηνη	nun apolueis ton doulon sou despota kata to rema sou en eirene	Luk|2|29|

30. For mine eyes have seen Thy Salvation,	οτι ειδον οι οφθαλμοι μου το σωτηριον σου	oti eidon oi ophthalmoi mou to soterion sou	Luk|2|30|

31. Which Thou hast prepared before the face of all people;	ο ητοιμασας κατα προσωπον παντων των λαων	o etoimasas kata prosopon panton ton laon	Luk|2|31|

32. A Light to enlighten the Gentiles, and The Glory of Thy people Israel.	φως εις αποκαλυψιν εθνων και δοξαν λαου σου ισραηλ.	phos eis apokalupsin ethnon kai doxan laou sou israel.	Luk|2|32|

33. And Joseph and His [mother MR.A->27] marvelled at those things which were spoken of Him.	και ην ιωσηφ και η μητηρ αυτου θαυμαζοντες επι τοις λαλουμενοις περι αυτου	kai en ioseph kai e meter autou thaumazontes epi tois laloumenois peri autou	Luk|2|33|

34. And Simeon blessed them, and said unto [Mary MR.A->28] His mother, Behold, This Child is set for the fall and rising again of many in Israel; and for a sign which shall be spoken against;	και ευλογησεν αυτους συμεων και ειπε προς μαριαμ την μητερα αυτου ιδου ουτος κειται εις πτωσιν και αναστασιν πολλων εν τω ισραηλ και εις σημειον αντιλεγομενον.	kai eulogesen autous sumeon kai eipe pros mariam ten metera autou idou outos keitai eis ptosin kai anastasin pollon en to israel kai eis semeion antilegomenon.	Luk|2|34|

35. Yea, a sword shall pierce through thy own soul also, that the thoughts of many hearts may be revealed.	και σου δε αυτης την ψυχην διελευσεται ρομφαια οπως αν αποκαλυφθωσιν εκ πολλων καρδιων διαλογισμοι.	kai sou de autes ten psuchen dieleusetai romphaia opos an apokaluphthosin ek pollon kardion dialogismoi.	Luk|2|35|

36. And there was one Anna, a [prophetess PR.B->12], the daughter of Phanuel, of the tribe of Aser: she was of a great age, and had lived with an husband seven years from her virginity;	και ην αννα προφητις θυγατηρ φανουηλ εκ φυλης ασηρ αυτη προβεβηκυια εν ημεραις πολλαις ζησασα ετη μετα ανδρος επτα απο της παρθενιας αυτης	kai en anna prophetis thugater phanouel ek phules aser aute probebekuia en emerais pollais zesasa ete meta andros epta apo tes parthenias autes	Luk|2|36|
